玩家1 | AA | 0.4833 | 玩家2 | AA | 0.5167
玩家1 | AA | 0.9667 | 玩家2 | AKs | 0.0333
玩家1 | AA | 0.9333 | 玩家2 | AKo | 0.0667
玩家1 | AA | 0.8333 | 玩家2 | AQs | 0.1667
玩家1 | AA | 1.0000 | 玩家2 | AQo | 0.0000
玩家1 | AA | 0.9000 | 玩家2 | AJs | 0.1000
玩家1 | AA | 1.0000 | 玩家2 | AJo | 0.0000
玩家1 | AA | 0.8167 | 玩家2 | ATs | 0.1833
玩家1 | AA | 0.9500 | 玩家2 | ATo | 0.0500
玩家1 | AA | 0.8667 | 玩家2 | A9s | 0.1333
玩家1 | AA | 1.0000 | 玩家2 | A9o | 0.0000
玩家1 | AA | 0.8167 | 玩家2 | A8s | 0.1833
玩家1 | AA | 0.9167 | 玩家2 | A8o | 0.0833
玩家1 | AA | 0.9167 | 玩家2 | A7s | 0.0833
玩家1 | AA | 0.9667 | 玩家2 | A7o | 0.0333
玩家1 | AA | 0.9333 | 玩家2 | A6s | 0.0667
玩家1 | AA | 1.0000 | 玩家2 | A6o | 0.0000
玩家1 | AA | 0.9667 | 玩家2 | A5s | 0.0333
玩家1 | AA | 0.9333 | 玩家2 | A5o | 0.0667
玩家1 | AA | 0.7833 | 玩家2 | A4s | 0.2167
玩家1 | AA | 0.9833 | 玩家2 | A4o | 0.0167
玩家1 | AA | 0.9000 | 玩家2 | A3s | 0.1000
玩家1 | AA | 1.0000 | 玩家2 | A3o | 0.0000
玩家1 | AA | 0.8167 | 玩家2 | A2s | 0.1833
玩家1 | AA | 0.9000 | 玩家2 | A2o | 0.1000
玩家1 | AA | 0.6667 | 玩家2 | KK | 0.3333
玩家1 | AA | 0.9000 | 玩家2 | KQs | 0.1000
玩家1 | AA | 0.7667 | 玩家2 | KQo | 0.2333
玩家1 | AA | 0.8667 | 玩家2 | KJs | 0.1333
玩家1 | AA | 0.9000 | 玩家2 | KJo | 0.1000
玩家1 | AA | 0.8000 | 玩家2 | KTs | 0.2000
玩家1 | AA | 0.8000 | 玩家2 | KTo | 0.2000
玩家1 | AA | 0.9667 | 玩家2 | K9s | 0.0333
玩家1 | AA | 0.8667 | 玩家2 | K9o | 0.1333
玩家1 | AA | 0.8667 | 玩家2 | K8s | 0.1333
玩家1 | AA | 0.8667 | 玩家2 | K8o | 0.1333
玩家1 | AA | 0.7333 | 玩家2 | K7s | 0.2667
玩家1 | AA | 0.9333 | 玩家2 | K7o | 0.0667
玩家1 | AA | 0.8667 | 玩家2 | K6s | 0.1333
玩家1 | AA | 0.9000 | 玩家2 | K6o | 0.1000
玩家1 | AA | 0.9000 | 玩家2 | K5s | 0.1000
玩家1 | AA | 0.9000 | 玩家2 | K5o | 0.1000
玩家1 | AA | 0.9333 | 玩家2 | K4s | 0.0667
玩家1 | AA | 0.9000 | 玩家2 | K4o | 0.1000
玩家1 | AA | 0.8000 | 玩家2 | K3s | 0.2000
玩家1 | AA | 0.9333 | 玩家2 | K3o | 0.0667
玩家1 | AA | 0.9167 | 玩家2 | K2s | 0.0833
玩家1 | AA | 0.9000 | 玩家2 | K2o | 0.1000
玩家1 | AA | 0.8333 | 玩家2 | QQ | 0.1667
玩家1 | AA | 0.8000 | 玩家2 | QJs | 0.2000
玩家1 | AA | 0.8000 | 玩家2 | QJo | 0.2000
玩家1 | AA | 0.8000 | 玩家2 | QTs | 0.2000
玩家1 | AA | 0.7667 | 玩家2 | QTo | 0.2333
玩家1 | AA | 0.7667 | 玩家2 | Q9s | 0.2333
玩家1 | AA | 0.9000 | 玩家2 | Q9o | 0.1000
玩家1 | AA | 0.8000 | 玩家2 | Q8s | 0.2000
玩家1 | AA | 0.8667 | 玩家2 | Q8o | 0.1333
玩家1 | AA | 0.7667 | 玩家2 | Q7s | 0.2333
玩家1 | AA | 0.8667 | 玩家2 | Q7o | 0.1333
玩家1 | AA | 0.9333 | 玩家2 | Q6s | 0.0667
玩家1 | AA | 0.9333 | 玩家2 | Q6o | 0.0667
玩家1 | AA | 0.8333 | 玩家2 | Q5s | 0.1667
玩家1 | AA | 0.8667 | 玩家2 | Q5o | 0.1333
玩家1 | AA | 0.9000 | 玩家2 | Q4s | 0.1000
玩家1 | AA | 0.8000 | 玩家2 | Q4o | 0.2000
玩家1 | AA | 0.7333 | 玩家2 | Q3s | 0.2667
玩家1 | AA | 0.9167 | 玩家2 | Q3o | 0.0833
玩家1 | AA | 0.9000 | 玩家2 | Q2s | 0.1000
玩家1 | AA | 0.9167 | 玩家2 | Q2o | 0.0833
玩家1 | AA | 0.8167 | 玩家2 | JJ | 0.1833
玩家1 | AA | 0.7000 | 玩家2 | JTs | 0.3000
玩家1 | AA | 0.9333 | 玩家2 | JTo | 0.0667
玩家1 | AA | 0.7667 | 玩家2 | J9s | 0.2333
玩家1 | AA | 0.9000 | 玩家2 | J9o | 0.1000
玩家1 | AA | 0.8500 | 玩家2 | J8s | 0.1500
玩家1 | AA | 0.7000 | 玩家2 | J8o | 0.3000
玩家1 | AA | 0.8333 | 玩家2 | J7s | 0.1667
玩家1 | AA | 0.8667 | 玩家2 | J7o | 0.1333
玩家1 | AA | 0.8333 | 玩家2 | J6s | 0.1667
玩家1 | AA | 0.9000 | 玩家2 | J6o | 0.1000
玩家1 | AA | 0.8667 | 玩家2 | J5s | 0.1333
玩家1 | AA | 0.9000 | 玩家2 | J5o | 0.1000
玩家1 | AA | 0.7833 | 玩家2 | J4s | 0.2167
玩家1 | AA | 0.9333 | 玩家2 | J4o | 0.0667
玩家1 | AA | 0.8667 | 玩家2 | J3s | 0.1333
玩家1 | AA | 0.8000 | 玩家2 | J3o | 0.2000
玩家1 | AA | 0.8667 | 玩家2 | J2s | 0.1333
玩家1 | AA | 0.8333 | 玩家2 | J2o | 0.1667
