AA vs AA | 0.505000 0.495000
AA vs KK | 0.767500 0.232500
AA vs QQ | 0.697500 0.302500
AA vs JJ | 0.685000 0.315000
AA vs TT | 0.755000 0.245000
AA vs 99 | 0.772500 0.227500
AA vs 88 | 0.740000 0.260000
AA vs 77 | 0.725000 0.275000
AA vs 66 | 0.800000 0.200000
AA vs AKs | 0.820000 0.180000
AA vs AKo | 0.860000 0.140000
AA vs AQs | 0.822500 0.177500
AA vs AQo | 0.820000 0.180000
AA vs AJs | 0.790000 0.210000
AA vs AJo | 0.822500 0.177500
AA vs ATs | 0.770000 0.230000
AA vs ATo | 0.860000 0.140000
AA vs A9s | 0.742500 0.257500
AA vs A9o | 0.792500 0.207500
AA vs A8s | 0.767500 0.232500
AA vs A8o | 0.812500 0.187500
AA vs A7s | 0.737500 0.262500
AA vs A7o | 0.847500 0.152500
AA vs A6s | 0.807500 0.192500
AA vs A6o | 0.852500 0.147500
AA vs KQs | 0.785000 0.215000
AA vs KQo | 0.827500 0.172500
AA vs KJs | 0.732500 0.267500
AA vs KJo | 0.782500 0.217500
AA vs KTs | 0.662500 0.337500
AA vs KTo | 0.710000 0.290000
AA vs K9s | 0.730000 0.270000
AA vs K9o | 0.775000 0.225000
AA vs K8s | 0.807500 0.192500
AA vs K8o | 0.810000 0.190000
AA vs K7s | 0.762500 0.237500
AA vs K7o | 0.810000 0.190000
AA vs K6s | 0.792500 0.207500
AA vs K6o | 0.807500 0.192500
AA vs QJs | 0.692500 0.307500
AA vs QJo | 0.745000 0.255000
AA vs QTs | 0.740000 0.260000
AA vs QTo | 0.757500 0.242500
AA vs Q9s | 0.702500 0.297500
AA vs Q9o | 0.745000 0.255000
AA vs Q8s | 0.767500 0.232500
AA vs Q8o | 0.757500 0.242500
AA vs Q7s | 0.762500 0.237500
AA vs Q7o | 0.800000 0.200000
AA vs Q6s | 0.815000 0.185000
AA vs Q6o | 0.822500 0.177500
AA vs JTs | 0.687500 0.312500
AA vs JTo | 0.650000 0.350000
AA vs J9s | 0.590000 0.410000
AA vs J9o | 0.732500 0.267500
AA vs J8s | 0.715000 0.285000
AA vs J8o | 0.737500 0.262500
AA vs J7s | 0.752500 0.247500
AA vs J7o | 0.782500 0.217500
AA vs J6s | 0.807500 0.192500
AA vs J6o | 0.795000 0.205000
AA vs T9s | 0.685000 0.315000
AA vs T9o | 0.670000 0.330000
AA vs T8s | 0.650000 0.350000
AA vs T8o | 0.697500 0.302500
AA vs T7s | 0.705000 0.295000
AA vs T7o | 0.747500 0.252500
AA vs T6s | 0.710000 0.290000
AA vs T6o | 0.707500 0.292500
AA vs 98s | 0.682500 0.317500
AA vs 98o | 0.750000 0.250000
AA vs 97s | 0.717500 0.282500
AA vs 97o | 0.742500 0.257500
AA vs 96s | 0.752500 0.247500
AA vs 96o | 0.815000 0.185000
AA vs 87s | 0.712500 0.287500
AA vs 87o | 0.732500 0.267500
AA vs 86s | 0.747500 0.252500
AA vs 86o | 0.720000 0.280000
AA vs 76s | 0.732500 0.267500
AA vs 76o | 0.787500 0.212500
KK vs AA | 0.267500 0.732500
KK vs KK | 0.505000 0.495000
KK vs QQ | 0.772500 0.227500
KK vs JJ | 0.712500 0.287500
KK vs TT | 0.717500 0.282500
KK vs 99 | 0.720000 0.280000
KK vs 88 | 0.747500 0.252500
KK vs 77 | 0.697500 0.302500
KK vs 66 | 0.735000 0.265000
KK vs AKs | 0.527500 0.472500
KK vs AKo | 0.620000 0.380000
KK vs AQs | 0.592500 0.407500
KK vs AQo | 0.592500 0.407500
KK vs AJs | 0.597500 0.402500
KK vs AJo | 0.665000 0.335000
KK vs ATs | 0.587500 0.412500
KK vs ATo | 0.592500 0.407500
KK vs A9s | 0.577500 0.422500
KK vs A9o | 0.615000 0.385000
KK vs A8s | 0.532500 0.467500
KK vs A8o | 0.575000 0.425000
KK vs A7s | 0.562500 0.437500
KK vs A7o | 0.642500 0.357500
KK vs A6s | 0.550000 0.450000
KK vs A6o | 0.612500 0.387500
KK vs KQs | 0.767500 0.232500
KK vs KQo | 0.795000 0.205000
KK vs KJs | 0.805000 0.195000
KK vs KJo | 0.762500 0.237500
KK vs KTs | 0.742500 0.257500
KK vs KTo | 0.765000 0.235000
KK vs K9s | 0.767500 0.232500
KK vs K9o | 0.805000 0.195000
KK vs K8s | 0.845000 0.155000
KK vs K8o | 0.890000 0.110000
KK vs K7s | 0.775000 0.225000
KK vs K7o | 0.827500 0.172500
KK vs K6s | 0.867500 0.132500
KK vs K6o | 0.865000 0.135000
KK vs QJs | 0.750000 0.250000
KK vs QJo | 0.815000 0.185000
KK vs QTs | 0.737500 0.262500
KK vs QTo | 0.757500 0.242500
KK vs Q9s | 0.745000 0.255000
KK vs Q9o | 0.785000 0.215000
KK vs Q8s | 0.787500 0.212500
KK vs Q8o | 0.777500 0.222500
KK vs Q7s | 0.712500 0.287500
