AA vs AA | 50.00% 50.00%
AA vs AKs | 90.00% 10.00%
AA vs AKo | 90.00% 10.00%
AA vs AQs | 100.00% 0.00%
AA vs AQo | 100.00% 0.00%
AA vs AJs | 90.00% 10.00%
AA vs AJo | 90.00% 10.00%
AA vs ATs | 75.00% 25.00%
AA vs ATo | 100.00% 0.00%
AA vs A9s | 100.00% 0.00%
AA vs A9o | 80.00% 20.00%
AA vs A8s | 100.00% 0.00%
AA vs A8o | 100.00% 0.00%
AA vs A7s | 90.00% 10.00%
AA vs A7o | 90.00% 10.00%
AA vs A6s | 80.00% 20.00%
AA vs A6o | 90.00% 10.00%
AA vs A5s | 90.00% 10.00%
AA vs A5o | 90.00% 10.00%
AA vs A4s | 75.00% 25.00%
AA vs A4o | 100.00% 0.00%
AA vs A3s | 100.00% 0.00%
AA vs A3o | 95.00% 5.00%
AA vs A2s | 85.00% 15.00%
AA vs A2o | 100.00% 0.00%
AA vs KK | 80.00% 20.00%
AA vs KQs | 60.00% 40.00%
AA vs KQo | 70.00% 30.00%
AA vs KJs | 90.00% 10.00%
AA vs KJo | 90.00% 10.00%
AA vs KTs | 80.00% 20.00%
AA vs KTo | 90.00% 10.00%
AA vs K9s | 90.00% 10.00%
AA vs K9o | 80.00% 20.00%
AA vs K8s | 80.00% 20.00%
AA vs K8o | 70.00% 30.00%
AA vs K7s | 60.00% 40.00%
AA vs K7o | 80.00% 20.00%
AA vs K6s | 90.00% 10.00%
AA vs K6o | 90.00% 10.00%
AA vs K5s | 80.00% 20.00%
AA vs K5o | 90.00% 10.00%
AA vs K4s | 70.00% 30.00%
AA vs K4o | 100.00% 0.00%
AA vs K3s | 90.00% 10.00%
AA vs K3o | 100.00% 0.00%
AA vs K2s | 80.00% 20.00%
AA vs K2o | 90.00% 10.00%
AA vs QQ | 70.00% 30.00%
AA vs QJs | 100.00% 0.00%
AA vs QJo | 80.00% 20.00%
AA vs QTs | 90.00% 10.00%
AA vs QTo | 90.00% 10.00%
AA vs Q9s | 70.00% 30.00%
AA vs Q9o | 80.00% 20.00%
AA vs Q8s | 60.00% 40.00%
AA vs Q8o | 80.00% 20.00%
AA vs Q7s | 60.00% 40.00%
AA vs Q7o | 90.00% 10.00%
AA vs Q6s | 90.00% 10.00%
AA vs Q6o | 100.00% 0.00%
AA vs Q5s | 70.00% 30.00%
AA vs Q5o | 80.00% 20.00%
AA vs Q4s | 80.00% 20.00%
AA vs Q4o | 100.00% 0.00%
AA vs Q3s | 90.00% 10.00%
AA vs Q3o | 100.00% 0.00%
AA vs Q2s | 80.00% 20.00%
AA vs Q2o | 100.00% 0.00%
AA vs JJ | 90.00% 10.00%
AA vs JTs | 70.00% 30.00%
AA vs JTo | 80.00% 20.00%
AA vs J9s | 100.00% 0.00%
AA vs J9o | 80.00% 20.00%
AA vs J8s | 90.00% 10.00%
AA vs J8o | 60.00% 40.00%
AA vs J7s | 90.00% 10.00%
AA vs J7o | 100.00% 0.00%
AA vs J6s | 70.00% 30.00%
AA vs J6o | 100.00% 0.00%
AA vs J5s | 90.00% 10.00%
